"912107204001"," 1301 W BRADLEY AVE,  URBANA,  IL,  618011305","Match","Non_Exact","1301 W BRADLEY AVE, URBANA, IL, 61801","-88.22603,40.12734","8833120","L"
"932121306011"," 1002 ELIOT DR,  URBANA,  IL,  618016824","Match","Exact","1002 ELIOT DR, URBANA, IL, 61801","-88.19599,40.089886","8814476","L"
"922117157001"," 713 W OREGON ST,  URBANA,  IL,  618014047","Tie"
"932120476035"," 506 E SHURTS ST,  URBANA,  IL,  618016749","Match","Exact","506 SHURTS ST, URBANA, IL, 61801","-88.20209,40.086063","8814447","L"
"932120432007"," 409 ELIOT DR,  URBANA,  IL,  618016725","Match","Exact","409 ELIOT DR, URBANA, IL, 61801","-88.202774,40.089607","8814434","R"
"932121355004"," 705 HARMON ST,  URBANA,  IL,  618016827","Match","Non_Exact","705 HARMON, URBANA, IL, 61801","-88.1993,40.087","8814474","R"
"922117233003"," 400 S VINE ST,  URBANA,  IL,  618013336","Match","Exact","400 VINE ST, URBANA, IL, 61801","-88.345215,39.96348","8799631","R"
"922117102024"," 407 S PROSPECT AVE,  CHAMPAIGN,  IL,  618205041","Tie"
"922116128024"," 1303 E MAIN ST,  URBANA,  IL,  618022831","Match","Non_Exact","1303 E MAIN ST, URBANA, IL, 61802","-88.19331,40.112938","8825272","R"
"922117135014"," 302 W ELM ST,  URBANA,  IL,  618013230","Match","Non_Exact","302 W ELM ST, URBANA, IL, 61801","-88.21049,40.11155","8813132","R"
"932122304010"," 2505 ST ANDREWS RD,  URBANA,  IL,  618026990","Match","Exact","2505 ST ANDREWS RD, URBANA, IL, 61802","-88.17839,40.08703","8858992","L"
"912108459007"," 2505 N SHORE DR,  URBANA,  IL,  618027219","Match","Non_Exact","2505 N SHORE DR, URBANA, IL, 61802","-88.22217,40.137794","8811519","L"
"912108153035"," 1005 N COLER AVE,  URBANA,  IL,  618011621","Match","Non_Exact","1005 N COLER AVE, URBANA, IL, 61801","-88.21577,40.121372","8843358","L"
"912105477019"," 1907 N WILLOW RD,  URBANA,  IL,  618011127","Match","Non_Exact","1907 N WILLOW RD, URBANA, IL, 61801","-88.20068,40.13058","640635714","L"
