tractAffGeoId	long	lat
1400000US17019005402	-88.200811	40.142
1400000US17019005402	-88.214307	40.141861
1400000US17019005500	-88.208861	40.109203
1400000US17019005500	-88.208809	40.106614
1400000US17019005500	-88.208854	40.105577
1400000US17019005500	-88.208684	40.105536
1400000US17019005500	-88.204975	40.10559
1400000US17019005500	-88.201269	40.105652
1400000US17019005500	-88.200225	40.105657
1400000US17019005500	-88.195684	40.105662
1400000US17019005500	-88.1946	40.105659
1400000US17019005500	-88.188687	40.105667
1400000US17019005500	-88.176741	40.10574
1400000US17019005500	-88.167283	40.105852
1400000US17019005500	-88.162579	40.105866
1400000US17019005500	-88.124528	40.106045
1400000US17019005500	-88.124688	40.120641
1400000US17019005500	-88.162696	40.120413
1400000US17019005500	-88.163019	40.12041
1400000US17019005500	-88.16652	40.120388
1400000US17019005500	-88.168244	40.120441
1400000US17019005500	-88.169438	40.120553
1400000US17019005500	-88.171153	40.120826
1400000US17019005500	-88.172173	40.121055
1400000US17019005500	-88.173242	40.121373
1400000US17019005500	-88.173505	40.121452
1400000US17019005500	-88.178229	40.117968
1400000US17019005500	-88.182041	40.116449
1400000US17019005500	-88.186489	40.115728
1400000US17019005500	-88.193348	40.11592
1400000US17019005500	-88.196867	40.116346
1400000US17019005500	-88.202285	40.116311
1400000US17019005500	-88.202405	40.116191
1400000US17019005500	-88.201946	40.112834
1400000US17019005500	-88.204974	40.112497
1400000US17019005500	-88.204922	40.10927
1400000US17019005500	-88.208861	40.109203
1400000US17019005600	-88.204975	40.10559
1400000US17019005600	-88.204905	40.098327
1400000US17019005600	-88.200095	40.09836
1400000US17019005600	-88.195555	40.098367
1400000US17019005600	-88.190737	40.098384
1400000US17019005600	-88.18961	40.09828
1400000US17019005600	-88.185258	40.098309
1400000US17019005600	-88.184508	40.098577
1400000US17019005600	-88.184224	40.098249
1400000US17019005600	-88.181357	40.096352
1400000US17019005600	-88.181143	40.089271
1400000US17019005600	-88.18121	40.083834
1400000US17019005600	-88.162149	40.083997
1400000US17019005600	-88.162146	40.083837
1400000US17019005600	-88.161869	40.06941
1400000US17019005600	-88.15239	40.069297
1400000US17019005600	-88.152135	40.062177
1400000US17019005600	-88.142914	40.062204
1400000US17019005600	-88.123976	40.062268
1400000US17019005600	-88.124528	40.106045
1400000US17019005600	-88.162579	40.105866
1400000US17019005600	-88.167283	40.105852
1400000US17019005600	-88.176741	40.10574
1400000US17019005600	-88.188687	40.105667
1400000US17019005600	-88.1946	40.105659
1400000US17019005600	-88.195684	40.105662
1400000US17019005600	-88.200225	40.105657
1400000US17019005600	-88.201269	40.105652
1400000US17019005600	-88.204975	40.10559
1400000US17019005701	-88.209637	40.098293
1400000US17019005701	-88.209586	40.0951
1400000US17019005701	-88.209523	40.090906
1400000US17019005701	-88.20942	40.083724
1400000US17019005701	-88.201602	40.083775
1400000US17019005701	-88.199957	40.083766
1400000US17019005701	-88.199291	40.083766
1400000US17019005701	-88.190496	40.083807
1400000US17019005701	-88.190576	40.087844
1400000US17019005701	-88.190595	40.089248
1400000US17019005701	-88.190596	40.090697
1400000US17019005701	-88.190698	40.09474
1400000US17019005701	-88.190737	40.098384
1400000US17019005701	-88.195555	40.098367
1400000US17019005701	-88.200095	40.09836
1400000US17019005701	-88.204905	40.098327
1400000US17019005701	-88.209637	40.098293
1400000US17019005702	-88.20942	40.083724
1400000US17019005702	-88.209419	40.08358
1400000US17019005702	-88.209331	40.076453
1400000US17019005702	-88.209237	40.069136
1400000US17019005702	-88.209213	40.054568
1400000US17019005702	-88.190181	40.054662
1400000US17019005702	-88.14289	40.054906
1400000US17019005702	-88.123888	40.054988
1400000US17019005702	-88.123976	40.062268
1400000US17019005702	-88.142914	40.062204
1400000US17019005702	-88.152135	40.062177
1400000US17019005702	-88.15239	40.069297
1400000US17019005702	-88.161869	40.06941
1400000US17019005702	-88.162146	40.083837
1400000US17019005702	-88.162149	40.083997
1400000US17019005702	-88.18121	40.083834
1400000US17019005702	-88.181143	40.089271
1400000US17019005702	-88.181357	40.096352
1400000US17019005702	-88.184224	40.098249
1400000US17019005702	-88.184508	40.098577
1400000US17019005702	-88.185258	40.098309
1400000US17019005702	-88.18961	40.09828
